Parcel,OVR_L1_logistic,OVR_L2_logistic,OVR_L1_LinearSVC,OVR_L2_LinearSVC
RH_Vis_1,0.005154140585057139,0.006881399494258591,0.004366510522461275,0.005541046580718264
RH_Vis_2,0.00787630062595863,0.009755558319169811,0.02018820213074659,0.006466857356050243
RH_Vis_3,0.022675454959996687,0.028271773825809397,0.029404855670245547,0.03461426854039713
RH_Vis_4,0.022136550180325832,0.02509361743287872,0.02567397642637041,0.028423772609819122
RH_Vis_5,0.015116969973331125,0.015020243474415843,0.016484959029418676,0.012988986997194932
RH_Vis_6,0.020547471983860494,0.025397615000898176,0.026917602840995456,0.025535795713634294
RH_Vis_7,0.0008429023476903095,0.00838756926308226,0.01583550967955893,0.0046843261617543425
RH_Vis_8,0.009244289682046181,0.015172242258425573,0.01000428360209482,0.018530033577913198
RH_SomMot_1,0.004311238237366829,0.004877779159584906,0.005499592366897429,0.00652212964114469
RH_SomMot_2,0.003357791319487626,0.0023628901877875887,0.006370130857134961,0.00592795257637939
RH_SomMot_3,0.01000428360209482,0.007765756055769736,0.013569345990686621,0.006922853708079427
RH_SomMot_4,0.01645732288687145,0.020989650264616067,0.01893075764484793,0.018281308294988186
RH_SomMot_5,0.03994804405201122,0.043222926943857175,0.03642443587724026,0.04865342895438655
RH_SomMot_6,0.014536610979839434,0.008608658403460045,0.007061034420815543,0.00754466691539195
RH_SomMot_7,0.014826790476585278,0.014854426619132503,0.01797731072696873,0.010308281170114276
RH_SomMot_8,0.01670604816979646,0.016319142174135336,0.016305324102861726,0.01713440837927842
RH_DorsAttn_Post_1,0.043941466650084984,0.04043167654658763,0.04243529688126131,0.0457378159156545
RH_DorsAttn_Post_2,0.020713288839143834,0.01807403722588401,0.017507496303665937,0.019428208210697955
RH_DorsAttn_Post_3,0.007655211485580844,0.013583164061960234,0.01193881358040045,0.02303472481311059
RH_DorsAttn_Post_4,0.027263054622835747,0.030468847158313644,0.025977973994389864,0.023269632024761983
RH_DorsAttn_Post_5,0.049966145725379656,0.04413491964791554,0.04269784023545993,0.039989498265832056
RH_DorsAttn_PrCv_1,0.01677513852616452,0.017258771020740925,0.016180961461399215,0.020906741836974396
RH_DorsAttn_FEF_1,0.04579308820074894,0.03910514170432091,0.03606516602412635,0.03245864942171372
RH_SalVentAttn_TempOccPar_1,0.006121405574209953,0.011980267794221284,0.00739266813138222,0.010294463098840665
RH_SalVentAttn_TempOccPar_2,0.02119692133372024,0.022191822465420275,0.020658016554049387,0.023324904309856433
RH_SalVentAttn_FrOperIns_1,0.010487916096671226,0.011924995509126835,0.006991944064447486,0.014191159197999143
RH_SalVentAttn_Med_1,0.03057939172850254,0.030385938730671972,0.023863809089527288,0.0213903743315508
RH_SalVentAttn_Med_2,0.014536610979839434,0.0168718650250798,0.011496635299644876,0.01202172200804212
RH_Limbic_OFC_1,0.017687131230222888,0.01297516892592132,0.011952631651674062,0.013085713496110216
RH_Limbic_TempPole_1,0.007447940416476668,0.012394809932429633,0.01338971106412967,0.010322099241387888
RH_Cont_Par_1,0.03131174950600396,0.037405518937666686,0.04218657159833631,0.03609280216667358
RH_Cont_Par_2,0.039657864555265376,0.04333347151404607,0.047133441114289264,0.05547955616355069
RH_Cont_PFCl_1,0.006259586286946069,0.004435600878829334,0.0075584849866655625,0.006190495930578011
RH_Cont_PFCl_2,0.01875112271829098,0.021473282759192476,0.028105956970526057,0.033716093907612384
RH_Cont_PFCl_3,0.008898837900205889,0.015310422971161688,0.014812972405311667,0.01641586867305062
RH_Cont_PFCl_4,0.003924332241705704,0.02006383948928409,0.00805593555251558,0.011565725656012932
RH_Cont_Cing_1,0.0316019290027498,0.03059320979977615,0.02903176774585804,0.03140847600491923
RH_Cont_PFCmp_1,0.037944423717337535,0.040265859691304286,0.029128494244773318,0.04034876811894596
RH_Cont_pCun_1,0.03356409512360265,0.04139894153574044,0.03746079122276113,0.04142657767828767
RH_Default_Par_1,0.03385427462034849,0.026461606488966272,0.028119775041799668,0.027345963050477415
RH_Default_Temp_1,0.009271925824593403,0.008373751191808648,0.010888640163605965,0.010308281170114278
RH_Default_Temp_2,0.016070416891210325,0.01695477345272147,0.0204369274136716,0.015918418107200596
RH_Default_Temp_3,0.012643535215354643,0.02022965634456743,0.019828932277632688,0.01887548535975349
RH_Default_PFCv_1,0.009050836684215616,0.009949011317000375,0.007669029556854453,0.01008719202973649
RH_Default_PFCv_2,0.0026116154707125985,0.006245768215672457,0.00305379375146817,0.0018930757644847933
RH_Default_PFCdPFCm_1,0.013776617059790797,0.019386753996877115,0.014895880832953337,0.020008567204189642
RH_Default_PFCdPFCm_2,0.0127126255717227,0.014785336262764445,0.012076994293136563,0.01622241567522005
RH_Default_PFCdPFCm_3,0.003178156392930675,0.006674128425154417,0.010018101673368432,0.0061490417167571745
RH_Default_pCunPCC_1,0.005886498362558554,0.00610758750293634,0.007240669347372494,0.009658831820254529
RH_Default_pCunPCC_2,0.02042310934239799,0.029004131603310813,0.028479044894913572,0.032348104851524825
